nombre,edad,nombre,Universidad
"Nacho Ayllón",17,"Universidad de Castilla-La Mancha","Ciencias Exactas"
"Adoración Machado Mariscal",17,"Universidad Antonio de Nebrija",Odontología
"Emilia Hoyos Cortes",16,"Universidad Europea del Atlántico",Matemática
"Timoteo Hernandez-Duque",17,"Universidad Católica Santa Teresa de Jesús de Ávila",Derecho
"Candelas del Requena",16,"Universidad de Burgos",Matemática
"Nilda Belmonte Seguí",16,"Universidad de Vigo","Ciencias de la Salud"
"Rita Jordán Solís",16,"Universidad Internacional Villanueva",Medicina
"Dani Amando Ortuño Páez",17,"Universidad Rey Juan Carlos","Ciencias de la Educación"
"Hilda Aller-Montalbán",16,"Universidad de Navarra","Ciencias de la Educación"
"Wilfredo Balaguer Novoa",16,"Universidad Internacional de Andalucía",Arquitectura
"Lourdes Llamas Badía",16,"Universidad Camilo José Cela",Odontología
"Luciano Bejarano Contreras",16,"Universidad de La Coruña",Agronomía
"Ulises Adadia Guardiola",17,"Universidad de Sevilla",Arquitectura
"Bibiana Carmela Busquets Alcaraz",17,"Universidad de Cantabria","Ciencias Exactas"
"Baldomero Matas Galán",16,"Universidad de Barcelona",Agronomía
"Kike del Cazorla",16,"Universidad de Salamanca",Humanidades
"Godofredo Amo Fernández",16,"Universidad de Gerona",Agronomía
"Danilo de Perez",17,"Universidad Pontificia Comillas",Comunicación
"Estela Pascual Domínguez",16,"Universidad de Barcelona",Arquitectura
"Maxi del Murcia",17,"Universidad de La Coruña",Arquitectura
"Maristela Piñol Osorio",16,"Universidad a Distancia de Madrid",Filosofía
"Ernesto Humberto Montesinos Piquer",16,"Universidad Nacional de Educación a Distancia",Información
"Glauco León",16,"Universidad San Jorge",Psicología
"Marina Berta Pereira Castrillo",16,"CUNEF Universidad",Agronomía
"Mónica Solana Madrid",16,"Universidad Abad Oliva CEU",Agronomía
"Candelas Natividad Arranz Olmedo",17,"Universidad Antonio de Nebrija","Ciencias Exactas"
"Rosalía Padilla-Echevarría",17,"ESIC Universidad","Ciencias Sociales"
"Angelita Hoz Terrón",16,"ESIC Universidad","Ciencias Económicas"
"Mariana Cabanillas",16,"Universidad de Málaga",Veterinaria
"Pepita Cánovas",17,"Universidad Politécnica de Madrid","Ciencias de la Educación"
"Nacio del Vallés",16,"Universidad Miguel Hernández de Elche",Matemática
"Pepe Álamo Villalba",16,"Universidad Rey Juan Carlos",Diseño
"Tomasa Colomer Gárate",17,"Universidad de Málaga","Ciencias de la Educación"
"Francisca Gisbert-Blázquez",16,"Universidad Internacional Menéndez Pelayo",Ingeniería
"Jovita Valcárcel Guardia",17,"Universidad Europea de Madrid","Ciencias Sociales"
"Odalys Escrivá Fernández",17,"CUNEF Universidad",Diseño
"Mariana Cabañas Llopis",16,"Universidad de León",Matemática
"Ángela Chaparro Ballesteros",17,"Universidad Europea de Valencia",Agronomía
"Samanta Figuerola Toledo",17,"Universidad de Salamanca","Ciencias Físicas y Matemáticas"
"Che Pou",17,"Universidad de Almería",Medicina
"Concepción Casares Caballero",17,"Universidad Pompeu Fabra",Veterinaria
"Pilar Tur Núñez",17,"Universidad CEU Cardenal Herrera","Ciencias Físicas y Matemáticas"
"Pepe León Palma",16,"Universidad a Distancia de Madrid","Ciencias Sociales"
"Lucía Madrid Lucena",17,"Universidad Pompeu Fabra","Ciencias de la Salud"
"Rosario Poza Moreno",16,"Universidad Internacional Villanueva",Odontología
"Conrado Donoso",16,"Universidad de Vich",Veterinaria
"Aurelia Emperatriz Sola Escamilla",16,"Universidad Miguel Hernández de Elche",Matemática
"Fidel Ramirez Segovia",17,"Universidad de Diseño, Innovación y Tecnología",Información
"Eli Monreal-Catalá",16,"Universidad de Vigo",Química
"Vanesa Guzman",17,"Universidad de Jaén","Ciencias Exactas"
"Felipa Ribes Solano",16,"Universidad de Burgos",Derecho
"Angelina Alcázar",16,"Universidad de La Coruña","Ciencias de la Salud"
"Aura Manzanares",17,"Universidad Complutense de Madrid",Matemática
"Judith de Perez",17,"Universidad Ramon Llull",Información
"Irene Hoyos Alcolea",17,"Universidad Politécnica de Cataluña",Arquitectura
"Rosenda López Núñez",17,"Universidad Fernando Pessoa-Canarias","Educación Física"
"Valerio Miralles Chacón",16,"Universidad Francisco de Vitoria",Química
"Encarnacion Luque Galan",16,"Universidad a Distancia de Madrid","Educación Física"
"María Pilar Gomez Soriano",16,"Universidad de Vich",Información
"Carla Escrivá Luz",16,"Universidad Eclesiástica San Dámaso","Ciencias de la Salud"
"Jose Miguel Nogués-Daza",16,"Universidad de Extremadura",Arquitectura
"Lalo Cabo Lastra",17,"Universidad de Alicante",Matemática
"Ovidio Escribano Palomar",17,"Universidad Internacional de La Rioja",Matemática
"Ruperto de Bellido",17,"Universidad de Lérida",Química
"Susanita Roig Alegria",16,"Universidad Carlos III de Madrid","Educación Física"
"Fermín Palomares Barba",16,"Universidad Internacional Villanueva",Diseño
"Araceli Nebot Cuenca",17,"Universidad de La Laguna",Química
